created_date,address,borough,status,latitude,longitude
2026-03-24 07:24:00,166 SAND LANE,STATEN ISLAND,Assigned,40.59561848192,-74.06984500157
2026-03-24 07:19:00,59 CRESCENT STREET,BROOKLYN,Closed,40.68797070105,-73.87356974185
2026-03-23 20:44:00,596 EAST   19 STREET,BROOKLYN,Started,40.63633515818,-73.95963906597
2026-03-23 19:01:00,34-43 58 STREET,QUEENS,Closed,40.75156301772,-73.90368731701
2026-03-23 15:27:00,79 EAST   51 STREET,BROOKLYN,Open,40.65999758953,-73.93023897231
2026-03-23 15:18:00,266 THORNYCROF AVENUE,STATEN ISLAND,Closed,40.53906962666,-74.15652095298
2026-03-23 14:13:00,88-10 209 STREET,QUEENS,Closed,40.72222784445,-73.75703495728
2026-03-23 13:44:00,5010 11 AVENUE,BROOKLYN,Started,40.63700919174,-73.99724006547
2026-03-23 13:05:00,452 SOUTH AVENUE,STATEN ISLAND,Closed,40.62804492058,-74.166525007
2026-03-23 08:14:00,,BRONX,Closed,40.86788049013,-73.8930011884
2026-03-23 07:50:00,7220 6 AVENUE,BROOKLYN,Closed,40.63020874672,-74.01941124298
2026-03-22 19:57:00,165 WEST   25 STREET,MANHATTAN,Closed,40.74491964238,-73.99358701379
2026-03-22 18:52:00,755 WASHINGTON AVENUE,BROOKLYN,Closed,40.67418135312,-73.96305538634
2026-03-22 18:26:00,739 54 STREET,BROOKLYN,Closed,40.63954793104,-74.00713430586
2026-03-22 18:17:00,758 EAST   17 STREET,BROOKLYN,Started,40.63205093656,-73.96077293003
2026-03-22 18:05:00,131-18 132 STREET,QUEENS,Closed,40.67048931999,-73.80651999464
2026-03-22 17:48:00,88-08 209 STREET,QUEENS,Closed,40.7222498405,-73.75705291544
2026-03-22 17:30:00,130-49 229 STREET,QUEENS,Closed,40.6809421861,-73.73881928448
2026-03-22 16:02:00,235-02 32 ROAD,QUEENS,Closed,40.7766015792,-73.75447883547
2026-03-22 15:00:00,37-08 ASTORIA BOULEVARD,QUEENS,Closed,40.76912285979,-73.91271990701
2026-03-22 14:53:00,,STATEN ISLAND,Closed,40.60635766154,-74.12092042575
2026-03-22 14:13:00,173 WYCKOFF AVENUE,BROOKLYN,Started,40.70320832695,-73.91744432832
2026-03-22 14:01:00,115-21 132 STREET,QUEENS,Closed,40.67953422198,-73.80866778146
2026-03-22 13:23:00,10 GRAND ARMY PLAZA,BROOKLYN,Closed,40.6728326975,-73.96906924546
2026-03-22 11:46:00,147-55 WELLER LANE,QUEENS,Closed,40.65595127621,-73.73419937543
2026-03-22 11:21:00,86-58 MIDLAND PARKWAY,QUEENS,Closed,40.714877372,-73.78316034594
2026-03-22 10:57:00,501 PARK PLACE,BROOKLYN,Closed,40.67515245286,-73.96137847285
2026-03-22 10:47:00,243 WINSOR PLACE,BROOKLYN,Closed,40.6578645079,-73.97685759784
2026-03-22 10:19:00,,BROOKLYN,Closed,40.67556206358,-73.96333221656
2026-03-22 08:36:00,59 CRESCENT STREET,BROOKLYN,Closed,40.68797070105,-73.87356974185
2026-03-22 08:11:00,130 FINLEY AVENUE,STATEN ISLAND,Started,40.56315683783,-74.10449886473
2026-03-22 08:08:00,65-46 79 PLACE,QUEENS,Closed,40.71685077161,-73.87322276232
2026-03-22 07:21:00,851 FLUSHING AVENUE,BROOKLYN,Closed,40.7016128774,-73.93814063341
2026-03-21 23:21:00,,QUEENS,Closed,40.77003094846,-73.91216634922
2026-03-21 20:45:00,,QUEENS,Closed,40.72837165116,-73.80041317708
2026-03-21 19:43:00,,BROOKLYN,Open,40.62227532851,-73.93376177767
2026-03-21 19:24:00,90 CLAY STREET,BROOKLYN,Closed,40.73660811503,-73.95489457983
2026-03-21 18:22:00,2167 EAST   19 STREET,BROOKLYN,Closed,40.59793271253,-73.95234517012
2026-03-21 18:11:00,,BROOKLYN,Closed,40.62923486247,-74.01606772089
