asset_id,gi_id,borough,sewer_type,asset_type,status,status_group,constructed_date,outfall,nyc_waters,latitude,longitude
138699,391C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.71993814371675,-73.79380135137109
151425,380a,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-06-30,26W-003,Jamaica Bay and Tributaries,40.6605801985003,-73.90358281274304
174307,GS4078B,Brooklyn,Combined,ROWGS,Constructed (In Guarantee),Constructed,2025-03-13,CI-005,Jamaica Bay and Tributaries,40.63908662325437,-73.91217432960555
94106,80C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2020-10-14,JAM-003,Jamaica Bay and Tributaries,40.69085773862719,-73.81457121241847
133053,439B,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2015-10-16,26W-003,Jamaica Bay and Tributaries,40.66474228110681,-73.91598209922604
160185,0016C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-01,BB-006,Flushing Bay,40.73592074969181,-73.87959463607115
181764,K220-01STa,Brooklyn,Combined,Synthetic Turf Field Storage Layer,In Construction,In Construction,,OH-002,East River / Open Waters,40.64119927382135,-74.00170047832005
183555,IB323A,Bronx,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-05-30,HP-007,Bronx River,40.85631288135539,-73.85995466981025
183641,IB5006A,Brooklyn,Combined,ROW Infiltration Basin with Combination of Concrete and Grass Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65811730744672,-73.93316950289872
181535,4-IB225b,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-07-16,RH-005,East River / Open Waters,40.68763193977082,-73.94437676664593
183181,IB2016B,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.66337165264057,-73.94282945048543
146022,943b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-10-31,TI-010,Flushing Creek,40.72277649947136,-73.81740163985312
135581,176b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-06-30,NCQ-077,Newtown Creek,40.7283253052802,-73.89461561711214
122832,2471,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-07-06,BB-006,Flushing Bay,40.72765276404753,-73.84661989547203
182065,IB2024c,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-07-21,26W-005,Jamaica Bay and Tributaries,40.66854262657622,-73.8897264888156
111522,265B,Bronx,Combined,ROWRG,Constructed (Full Maintenance),Constructed,2021-03-30,HP-004,Bronx River,40.84763439468025,-73.88614245947471
185297,IB3011h,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),Constructed,2024-12-23,CI-005,Jamaica Bay and Tributaries,40.65793136702605,-73.92997719839589
136014,425.1i,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-06-30,NCQ-029,Newtown Creek,40.72955722657552,-73.92213455199965
150513,20b,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-06-30,26W-003,Jamaica Bay and Tributaries,40.657253082899125,-73.91440552846552
126777,102A,Bronx,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-05-03,HP-033,Westchester Creek,40.849408205262215,-73.85286249840613
160267,0275A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-01,BB-006,Flushing Bay,40.72751862290835,-73.87281749920152
181669,IB324C,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.7209144344509,-73.80455191744328
183625,IB6003J,Brooklyn,Combined,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.6492893774297,-73.94245160204387
159492,IB270D,Queens,Combined,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),Constructed,2020-10-14,JAM-003,Jamaica Bay and Tributaries,40.69371308337577,-73.82301507847728
176937,IB5104a,Brooklyn,Combined,ROW Infiltration Basin with Combination of Concrete and Grass Top,Constructed (In Guarantee),Constructed,2024-12-23,CI-005,Jamaica Bay and Tributaries,40.64812031063519,-73.91969522208802
141516,6132A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-12-19,BB-009,Newtown Creek,40.73973552652677,-73.92513297864825
171374,K354-01PPc,Brooklyn,Combined,Permeable Pavers,Constructed,Constructed,2019-05-01,NCB-014,East River / Open Waters,40.672169001488825,-73.93783999972894
181637,IB3022C,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.66230580887164,-73.93778852250779
156995,123c,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-06-06,NCB-015,Newtown Creek,40.68079864625775,-73.91338569245966
187787,IB843c,Queens,Combined,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),Constructed,2021-11-02,TI-010,Flushing Creek,40.728010051185606,-73.8293007257299
187957,IB1229a,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-10-31,TI-010,Flushing Creek,40.734904037655866,-73.8088600260921
147096,1490c,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-11-02,TI-010,Flushing Creek,40.73522651018999,-73.82159909006442
182837,IB568A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-12-30,BB-005,East River / Open Waters,40.73838356981055,-73.89566378045552
183402,1-IB317a,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-07-16,NCB-014,East River / Open Waters,40.67784260134365,-73.94083204067329
181884,IB4096F,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),Constructed,2025-03-13,CI-005,Jamaica Bay and Tributaries,40.64177613722528,-73.91387068882906
160283,0330A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-01,BB-006,Flushing Bay,40.72575952109283,-73.87684512415048
188409,IB580A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-12-30,NCB-083,Newtown Creek,40.70686769914378,-73.90051465893328
171555,4001H,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.657492161007234,-73.94323204154847
181917,IB1480d,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-05-06,26W-005,Jamaica Bay and Tributaries,40.6696049097069,-73.8603380878556
182105,IB2653b,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-07-21,26W-005,Jamaica Bay and Tributaries,40.66338912343988,-73.87058594162713
182398,IB1064A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.72689002866908,-73.7885635140245
138009,IB785E,Bronx,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-05-30,HP-007,Bronx River,40.83866619227911,-73.87093412755505
172016,IB5076AA,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.6539170834745,-73.93635541119188
