SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026191,21,NY0026191-021,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.808511,-73.803847
NY0026107,29,NY0026107-029,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.640724,-74.139267
NY0026131,60,NY0026131-060,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.842902,-73.929176
NY0026131,64,NY0026131-064,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.819676,-73.932511
NY0026247,2,NY0026247-002,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.832529,-73.951189
NY0026131,61,NY0026131-061,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.840386,-73.930475
NY0026204,25,NY0026204-025,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.733755,-73.962342
NY0026158,45,NY0026158-045,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.776178,-73.929834
NY0026107,36,NY0026107-036,NYCDEP - Port Richmond WPCF,NYC DEP,Bodine Creek,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.637471,-74.127649
NY0026204,81,NY0026204-081,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.733507,-74.010861
NY0026247,44,NY0026247-044,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.823259,-73.956614
NY0026247,9,NY0026247-009,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.868073,-73.911671
NY0026239,20,NY0026239-020,NYCDEP - Tallmans Island WPCP,NYC DEP,East River,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.794488,-73.84884
NY0026204,72,NY0026204-072,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.715105,-74.017359
NY0026204,47,NY0026204-047,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.735177,-73.974415
NY0026107,35,NY0026107-035,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.640243,-74.12611
NY0026131,14,NY0026131-014,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.778407,-73.94281
NY0026131,3,NY0026131-003,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.767046,-73.950116
NY0026204,11,NY0026204-011,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.751677,-73.964766
NY0026158,32,NY0026158-032,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.774317,-73.937787
NY0026131,53,NY0026131-053,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.904976,-73.913893
NY0027073,2,NY0027073-002,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.705534,-73.981071
NY0026204,23,NY0026204-023,NYCDEP - Newtown Creek WPCP,NYC DEP,Newtown Creek,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.736892,-73.959978
NY0026204,18,NY0026204-018,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.747337,-73.968474
NY0026221,14,NY0026221-014,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.589406,-73.816636
NY0026131,34,NY0026131-034,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.799778,-73.928912
NY0026107,023A,NY0026107-023A,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.611932,-74.060018
NY0026247,16,NY0026247-016,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.860726,-73.91796
NY0027073,23,NY0027073-023,NYCDEP - Red Hook WPCP,NYC DEP,Atlantic Basin,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.682545,-74.010539
NY0026131,75,NY0026131-075,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.813955,-73.932427
NY0026247,46,NY0026247-046,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.777536,-73.990956
