SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026131,39,NY0026131-039,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.815715,-73.933826
NY0026158,55,NY0026158-055,NYCDEP - Bowery Bay WPCP,NYC DEP,East River - East Channel,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.765728,-73.944952
NY0026204,62,NY0026204-062,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.709434,-73.982954
NY0026107,19,NY0026107-019,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.619366,-74.067102
NY0026239,18,NY0026239-018,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing Bay,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.785541,-73.858958
NY0026158,4,NY0026158-004,NYCDEP - Bowery Bay WPCP,NYC DEP,Dutch Kills,44,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.739096,-73.942061
NY0026204,5,NY0026204-005,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.76102,-73.955714
NY0026221,3,NY0026221-003,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.58475,-73.828903
NY0026204,13,NY0026204-013,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.707094,-73.969315
NY0026131,76,NY0026131-076,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.878621,-73.922483
