fid,source,data_type,elev_ft,depth_ft,latitude,longitude
238,USGS/NWIS,Water/Monitoring Well,-325.0,340.5777,40.781944,-73.745833
239,USGS/NWIS,Water/Monitoring Well,-446.0,454.6285,40.793056,-73.711667
240,USGS/NWIS,Water/Monitoring Well,-389.0,493.986,40.796111,-73.723611
241,USGS/NWIS,Water/Monitoring Well,-378.0,467.1393,40.794444,-73.733611
242,USGS/NWIS/GeoLog,Water/Monitoring Well,-313.0,320.11915,40.785556,-73.750833
243,USGS/NWIS,Water/Monitoring Well,-310.0,327.4437,40.795278,-73.745556
244,USGS/NWIS,Water/Monitoring Well,-340.0,470.084,40.804167,-73.729167
245,USGS/NWIS,Water/Monitoring Well,-255.0,285.8395,40.812778,-73.736111
246,USGS/NWIS,Water/Monitoring Well,-257.0,278.1284,40.820278,-73.731389
247,USGS/NWIS/GeoLog,Water/Monitoring Well,-203.0,211.61345,40.816667,-73.741389
248,USGS/NWIS,Water/Monitoring Well,-237.0,256.3895,40.826944,-73.738889
249,USGS/NWIS,Water/Monitoring Well,-277.0,306.0608,40.815278,-73.746667
250,USGS/NWIS/GeoLog,Water/Monitoring Well,-225.0,302.9356,40.814722,-73.761944
251,USGS/NWIS,Water/Monitoring Well,-235.0,289.2949,40.811389,-73.759167
252,USGS/NWIS,Water/Monitoring Well,-244.0,284.7217,40.807222,-73.751111
253,USGS/NWIS/GeoLog,Water/Monitoring Well,-264.0,322.8137,40.804722,-73.753333
254,USGS/NWIS/GeoLog,Water/Monitoring Well,-166.0,178.0451,40.825556,-73.741667
255,USGS/NWIS/GeoLog,Water/Monitoring Well,-246.0,266.3299,40.829167,-73.750278
256,USGS/NWIS/GeoLog,Water/Monitoring Well,-243.0,280.2605,40.834167,-73.751389
213,USGS/NWIS/GeoLog,Water/Monitoring Well,-193.0,200.41461,40.855833,-73.7225
214,USGS/NWIS,Water/Monitoring Well,-272.0,341.4545,40.862778,-73.701944
215,USGS/NWIS,Water/Monitoring Well,-173.0,230.8733,40.846667,-73.720556
216,USGS/NWIS,Water/Monitoring Well,-307.0,363.1673,40.843333,-73.69
217,USGS/NWIS,Water/Monitoring Well,-321.0,423.164,40.856944,-73.701944
218,USGS/NWIS,Water/Monitoring Well,-179.0,248.028,40.853056,-73.717222
219,USGS/NWIS,Water/Monitoring Well,-309.0,367.7591,40.856389,-73.678889
220,USGS/NWIS/GeoLog,Water/Monitoring Well,-366.0,381.6166,40.836111,-73.697222
221,USGS/NWIS/GeoLog,Water/Monitoring Well,-327.0,388.4166,40.828611,-73.696389
222,USGS/NWIS/GeoLog,Water/Monitoring Well,-350.0,428.083,40.8225,-73.698333
223,USGS/NWIS,Water/Monitoring Well,-397.0,540.994,40.828889,-73.683333
224,USGS/NWIS,Water/Monitoring Well,-396.0,548.721,40.823611,-73.681667
225,USGS/NWIS/GeoLog,Water/Monitoring Well,-467.0,489.5719,40.828889,-73.657222
226,USGS/NWIS,Water/Monitoring Well,-450.0,575.523,40.810556,-73.678333
227,USGS/NWIS,Water/Monitoring Well,-468.0,583.878,40.809444,-73.676944
228,USGS/NWIS/GeoLog,Water/Monitoring Well,-354.0,369.1573,40.814722,-73.703056
515,USGS/NWIS,Water/Monitoring Well,-1454.955952,1464.798352,40.584722,-73.670278
4822,USGS/NWIS,Water/Monitoring Well,-602.12277,631.44277,40.7,-73.778889
11552,USGS/NWIS/GeoLog,Water/Monitoring Well,-383.937964,391.844694,40.814722,-73.703056
11553,USGS/NWIS,Water/Monitoring Well,-464.37558,669.03158,40.801667,-73.686389
11554,USGS/NWIS,Water/Monitoring Well,-489.933655,606.926655,40.809444,-73.676944
12228,USGS/NWIS/GeoLog,Water/Monitoring Well,-328.770039,389.300839,40.828611,-73.696389
12229,USGS/NWIS,Water/Monitoring Well,-394.55426,533.49626,40.828889,-73.683333
12230,USGS/NWIS/GeoLog,Water/Monitoring Well,-466.351906,498.077206,40.828889,-73.657222
13061,USGS/NWIS,Water/Monitoring Well,-183.34446,235.11546,40.846667,-73.720556
13062,USGS/NWIS,Water/Monitoring Well,-303.359879,354.966879,40.843333,-73.69
13761,USGS/NWIS/GeoLog,Water/Monitoring Well,-193.281631,200.860281,40.855833,-73.7225
13762,USGS/NWIS,Water/Monitoring Well,-322.967651,386.516751,40.856389,-73.678889
