Unique Key,Created Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Year,Month,Year_Month
45313805,2020-01-05 20:23:00,QUEENS,"1,027,715","185,350",40.67531298357,-73.84330350425,POINT (-73.843303504251 40.67531298357),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45321288,2020-01-06 09:22:00,QUEENS,"1,038,724","156,919",40.5972152449,-73.80384438943,POINT (-73.803844389433 40.597215244904),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45326710,2020-01-06 11:34:00,QUEENS,"1,043,654","199,177",40.71317217295,-73.78571977364,POINT (-73.785719773638 40.713172172948),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45327846,2020-01-06 14:32:00,BROOKLYN,"999,503","180,726",40.66271470257,-73.94502153163,POINT (-73.94502153163 40.662714702569),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45325634,2020-01-06 15:30:00,BROOKLYN,"981,056","175,173",40.64748549428,-74.01150994135,POINT (-74.011509941347 40.647485494278),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45321286,2020-01-06 16:38:00,BROOKLYN,"1,003,232","174,196",40.64478407425,-73.93159897227,POINT (-73.931598972267 40.644784074247),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45325635,2020-01-06 20:22:00,BROOKLYN,"982,215","176,640",40.65151243316,-74.00733379598,POINT (-74.007333795983 40.651512433155),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45324555,2020-01-06 20:28:00,BROOKLYN,"982,865","160,028",40.60591611987,-74.00498789698,POINT (-74.004987896978 40.605916119869),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45326711,2020-01-06 21:08:00,BROOKLYN,"982,215","176,640",40.65151243316,-74.00733379598,POINT (-74.007333795983 40.651512433155),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45327933,2020-01-07 07:56:00,MANHATTAN,"998,290","222,311",40.77685748245,-73.94930696947,POINT (-73.949306969469 40.776857482445),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45331081,2020-01-07 09:00:00,QUEENS,"1,012,871","220,489",40.77182138676,-73.89666839297,POINT (-73.896668392967 40.771821386763),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45327941,2020-01-07 16:37:00,MANHATTAN,"989,648","214,655",40.7558532473,-73.98051604845,POINT (-73.980516048449 40.755853247298),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45332193,2020-01-07 18:29:00,BROOKLYN,"982,815","160,064",40.60601492456,-74.00516797311,POINT (-74.00516797311 40.606014924561),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45331135,2020-01-07 19:26:00,BROOKLYN,"1,017,136","187,935",40.68245383779,-73.88142938929,POINT (-73.881429389295 40.682453837789),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45337489,2020-01-08 09:37:00,QUEENS,"1,042,939","186,262",40.67772837106,-73.7884114172,POINT (-73.788411417201 40.677728371058),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45337486,2020-01-08 11:49:00,MANHATTAN,"982,381","201,750",40.72043366988,-74.0067425254,POINT (-74.006742525404 40.720433669875),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45343739,2020-01-08 12:24:00,MANHATTAN,"985,189","206,661",40.73391331637,-73.99661181802,POINT (-73.996611818016 40.733913316367),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45338455,2020-01-08 13:49:00,STATEN ISLAND,"935,998","133,726",40.5335911425,-74.17358535509,POINT (-74.173585355093 40.533591142501),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45343757,2020-01-08 17:32:00,QUEENS,"1,026,067","204,440",40.72771842124,-73.84912619279,POINT (-73.849126192793 40.727718421237),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45339548,2020-01-08 19:45:00,QUEENS,"1,037,161","192,442",40.69472743807,-73.80919395703,POINT (-73.809193957033 40.694727438067),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45343744,2020-01-08 20:31:00,BRONX,"1,008,059","242,951",40.83348765498,-73.91396169557,POINT (-73.913961695569 40.833487654979),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45345596,2020-01-09 08:33:00,QUEENS,"1,006,280","206,689",40.73396278378,-73.92050935598,POINT (-73.920509355979 40.733962783776),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45348948,2020-01-09 08:39:00,MANHATTAN,"989,648","214,655",40.7558532473,-73.98051604845,POINT (-73.980516048449 40.755853247298),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
